"Date","Rev"
"on November 21, 2016","This is a really great app really great music at the tip of your fingers"
"on December 12, 2016","Great for listening to my favorite music and discovering new music!"
"on August 31, 2014","I had had Pandora before but it was giving me some issues so I decided to download spotify. It has proven to be much better because not only can I listen to the &#34;radio&#34; but I can also make my own playlists and listen to whatever I want."
"on September 25, 2015","For some reason and after playing some songs, the music stops, to press next or stop and play again is needed for the music to sound again. Besides that works perfectly."
"on July 14, 2016","I have very little problems with it, and it has just about every artist I can think of, 5/5 good stuff"
"on January 28, 2015","I've US d Spotify for sale me years now, and it hasn't ceased to satisfy me. I definitely would recommend this app to any music lovers. It does require internet access to listen to music, but that's not much of an issue."
"on March 9, 2017","This is by far the Best Streaming App in the World!"
"on May 20, 2017","All of the songs I like they have, and easy yo use."
"on July 13, 2016","It's Spotify. The player is a little clunky but it delivers great music so that's what matters to me."
"on July 26, 2016","I play the rain for sleep at night but every 20 0r 30 minutes a commercial comes on it wakes me up."
"on February 25, 2017","Awesome App!!!!!!! If you can add lyrics on it, would be amazing!"
"on January 6, 2017","Awesome! It has about every song I want to listen to! I LOVE IT!!"
"on December 26, 2016","I've got this on my ps4 and my kindle and I just love it so much"
"on January 5, 2017","Awesome collection, easy to access, can play offline, fair price."
"on February 12, 2017","I'm about to kill Pandora. Spotify has evolved into awesomeness."
"on December 28, 2016","Love this app. The family premium has really helped my data plan."
"on January 2, 2017","my favorite app for listening to music. any song you want to hear"
"on February 21, 2017","Love the free music and lots of my favorite artists to listen to."
"on December 27, 2016","Awesome app. Never had one I liked so much. Won't stop listening."
"on March 24, 2016","Its got great selections and easy to use. I would recommend it to my friends and family. As a matter of fact, I already have."
"on March 16, 2017","My old music app stopped working, so I tried out spotify and it was awesome."
"on March 8, 2015","I believe I just smoked to much man, this is a far out application. You can chill and listen to some good stuff here. I love Swiss rolls to bro. Anyways spotlight bro. It's the only thing I like man. It's awesome."
"on April 8, 2015","Better than apps that make stations for you based on an artist or song you like. This app lets you listen to all the songs and artists you really want to hear. Can't think of anything bad to say about that."
"on December 14, 2015","It's a great music app but unless you get premium, you can't listen to the exact song you want, unless you wait until you get to it after other songs."
"on March 18, 2016","I love the quality of the music and how the whole app works! Also I would recomend not having the adds,but I get it u got make $"
"on October 5, 2015","It's great to use on the go or just Chillin at home. When I don't have a certain song in my Amazon music I can just use this app. I strongly recommend this app to you"
"on November 26, 2016","Love it but its been kicking me out and not letting me listen to music"
"on October 5, 2015","Excellent app, at least with Spotify Prepmium. Without it, it is a little less great than Pandora, but I think Premium is worth it. All songs, right there on spotify."
"on January 6, 2015","Everything is great and all of that, but the only problem is that I can't listen to my playlist without Wi-Fi that is the only problem if I could listen to my playlist without using my data and my Wi-Fi that would be great.."
"on August 27, 2016","I love it! So many genre's at my fingertips, Great playlists, and options for artist radio!"
"on April 28, 2017","It's cool"
"on August 20, 2017","Very nice"
"on June 24, 2017","Love it!!"
"on November 1, 2014","So when I first got the app I was like, oh I'll just try it, but it will be like all the other ones. So I down load it an I'm like wow this works great!!! AND ITS FREE!!!! I would recommend this to anybody. Thanks for reading."
"on March 21, 2016","I would give it 5 but it has you watch an ad saying you'll get 30 minutes of ad free music then an ad hits two songs later. -_-"
"on March 28, 2017","I love it's the best app"
"on September 28, 2014","I saw the good reviews and decided to try it out, but I was disappointed. It doesn't allow you to search the music you want, and this is extremely disappointing because I'm into fanmade songs on YouTube, like songs by Joydreamer, Sirhamnet, etc."
"on February 19, 2015","Great app, free version is a must. Customize a playlist and play it on shuffle. Free version does require internet. Cons: paid version is too pricey IMO when compared to other sources like prime music or Pandora"
